"id_producto","id_clase_maquillaje","id_imagen","path_imagen","largo_imagen","alto_imagen","profundidad_bits"
"PAL001",NULL,1,"/path/to/image.jpg",560,562,24
"PAL003",NULL,2,"/path/to/image.jpg",560,562,24
"PAL004",NULL,3,"/path/to/image.jpg",560,562,24
"PRI001",NULL,4,"/path/to/image.jpg",560,562,24
"POL001",NULL,5,"/path/to/image.jpg",560,562,24
"POL002",NULL,6,"/path/to/image.jpg",560,562,24
"COR002",NULL,7,"/path/to/image.jpg",560,562,24
"DEL001",NULL,8,"/path/to/image.jpg",560,562,24
"RIM001",NULL,9,"/path/to/image.jpg",560,562,24
"RIM002",NULL,10,"/path/to/image.jpg",560,562,24
"RIM003",NULL,11,"/path/to/image.jpg",560,562,24
"RIM004",NULL,12,"/path/to/image.jpg",560,562,24
"CUA001",NULL,13,"/path/to/image.jpg",460,470,24
"CUA002",NULL,14,"/path/to/image.jpg",460,470,24
"CUA003",NULL,15,"/path/to/image.jpg",460,470,24
"LAP001",NULL,16,"/path/to/image.jpg",460,480,24
"LAP002",NULL,17,"/path/to/image.jpg",460,480,24
"LAP003",NULL,18,"/path/to/image.jpg",460,480,24
"LAP004",NULL,19,"/path/to/image.jpg",460,480,24
"LAP005",NULL,20,"/path/to/image.jpg",460,480,24
"LAP006",NULL,21,"/path/to/image.jpg",460,480,24
"LAP007",NULL,22,"/path/to/image.jpg",460,480,24
"LAP008",NULL,23,"/path/to/image.jpg",460,480,24
"LAP009",NULL,24,"/path/to/image.jpg",460,480,24
"POL002",1,73,"/path/to/image.jpg",220,220,24
"POL002",2,74,"/path/to/image.jpg",220,220,24
"COR001",3,75,"/path/to/image.jpg",220,220,24
"COR001",4,76,"/path/to/image.jpg",220,220,24
"RUB001",5,77,"/path/to/image.jpg",220,220,24
"RUB001",6,78,"/path/to/image.jpg",220,220,24
"RUB001",7,79,"/path/to/image.jpg",220,220,24
"RUB002",8,80,"/path/to/image.jpg",220,220,24
"RUB002",9,81,"/path/to/image.jpg",220,220,24
"RUB002",10,82,"/path/to/image.jpg",220,220,24
"RUB003",11,83,"/path/to/image.jpg",220,220,24
"RUB003",12,84,"/path/to/image.jpg",220,220,24
"RUB003",13,85,"/path/to/image.jpg",220,220,24
"LAB001",14,86,"/path/to/image.jpg",220,220,24
"LAB001",15,87,"/path/to/image.jpg",220,220,24
"LAB001",16,88,"/path/to/image.jpg",220,220,24
"LAB001",17,89,"/path/to/image.jpg",220,220,24
"LAB001",18,90,"/path/to/image.jpg",220,220,24
"LAB001",19,91,"/path/to/image.jpg",220,220,24
"LAB002",20,92,"/path/to/image.jpg",220,220,24
"LAB002",21,93,"/path/to/image.jpg",220,220,24
"LAB002",22,94,"/path/to/image.jpg",220,220,24
"LAB002",23,95,"/path/to/image.jpg",220,220,24
"LAB002",24,96,"/path/to/image.jpg",220,220,24
"LAB002",25,97,"/path/to/image.jpg",220,220,24
"LAB003",26,98,"/path/to/image.jpg",220,220,24
"LAB003",27,99,"/path/to/image.jpg",220,220,24
"LAB003",28,100,"/path/to/image.jpg",220,220,24
"LAB003",29,101,"/path/to/image.jpg",220,220,24
"LAB003",30,102,"/path/to/image.jpg",220,220,24
"LAB003",31,103,"/path/to/image.jpg",220,220,24
"LAB003",32,104,"/path/to/image.jpg",220,220,24
"LAB003",33,105,"/path/to/image.jpg",220,220,24
"GLI001",34,106,"/path/to/image.jpg",220,220,24
"GLI001",35,107,"/path/to/image.jpg",220,220,24
"GLI001",36,108,"/path/to/image.jpg",220,220,24
"GLI001",37,109,"/path/to/image.jpg",220,220,24
"GLI001",38,110,"/path/to/image.jpg",220,220,24
"GLI002",39,111,"/path/to/image.jpg",220,220,24
"GLI002",40,112,"/path/to/image.jpg",220,220,24
"GLI002",41,113,"/path/to/image.jpg",220,220,24
"DEL002",42,114,"/path/to/image.jpg",220,220,24
"DEL002",43,115,"/path/to/image.jpg",220,220,24
"DEL002",44,116,"/path/to/image.jpg",220,220,24
"DEL002",45,117,"/path/to/image.jpg",220,220,24
"DEL002",46,118,"/path/to/image.jpg",220,220,24
"DEL002",47,119,"/path/to/image.jpg",220,220,24
"DEL002",48,120,"/path/to/image.jpg",220,220,24
"DEL002",49,121,"/path/to/image.jpg",220,220,24
"DEL002",50,122,"/path/to/image.jpg",220,220,24
"DEL002",51,123,"/path/to/image.jpg",220,220,24
